label,red_mean,red_min,red_max,green_mean,green_min,green_max,blue_mean,blue_min,blue_max
cloudy,161.06,107,228,147.692,98,204,136.769,90,199
cloudy,131.49,124,139,123.855,118,130,112.348,107,118
cloudy,141.578,101,176,130.171,97,165,117.59,89,149
cloudy,174.752,171,179,150.541,147,154,130.132,126,136
cloudy,149.911,96,210,138.377,90,199,125.886,86,183
cloudy,128.965,122,139,112.787,106,122,101.607,95,111
cloudy,154.601,142,168,142.25,129,155,125.554,114,139
cloudy,122.976,101,140,112.463,94,128,104.118,86,119
cloudy,145.614,91,186,129.777,85,173,118.59,80,159
cloudy,146.909,137,160,141.557,135,153,133.809,127,143
cloudy,130.908,88,155,120.576,82,144,109.362,78,133
cloudy,202.357,145,235,188.685,131,226,169.305,112,209
cloudy,157.457,150,166,144.002,137,152,131.981,125,141
cloudy,228.864,96,247,218.762,94,237,215.277,88,238
cloudy,162.612,86,243,152.52,87,225,140.617,82,225
cloudy,146.033,136,156,136.905,128,147,126.887,119,136
cloudy,168.457,116,199,154.109,104,186,138.858,94,170
cloudy,204.145,185,230,192.94,172,222,180.566,159,210
cloudy,159.688,154,165,135.892,131,140,117.6,113,122
cloudy,161.929,152,179,152.502,144,161,142.409,133,151
cloudy,149.199,101,200,141.945,100,195,134.52,97,187
cloudy,138.743,133,146,129.414,124,137,120.955,116,128
cloudy,167.372,158,177,158.418,151,167,145.301,138,153
cloudy,155.326,147,162,144.246,138,150,130.755,126,136
cloudy,153.127,147,162,145.154,140,151,132.785,128,139
cloudy,178.504,144,212,167.989,135,203,154.137,124,190
cloudy,240.558,130,248,229.28,112,236,221.045,91,236
cloudy,202.665,92,238,186.341,86,216,174.356,78,210
cloudy,159.006,148,164,137.023,127,140,120.184,112,125
cloudy,161.462,152,171,154.637,146,161,144.832,137,152
cloudy,200.127,119,242,186.766,104,225,167.936,90,216
cloudy,166.04,147,182,156.086,138,171,143.476,125,158
cloudy,135.78,128,142,127.827,122,133,116.12,110,122
cloudy,150.357,142,160,145.058,139,152,137.239,131,144
cloudy,175.799,166,188,170.038,161,181,161.698,154,172
cloudy,200.544,192,209,193.856,186,201,182.133,174,188
cloudy,139.395,134,145,131.889,127,136,120.004,116,125
cloudy,158.781,151,172,148.449,142,160,133.876,124,146
cloudy,133.591,125,142,122.262,114,130,112.339,105,120
cloudy,200.886,195,212,194.053,190,205,182.367,178,193
cloudy,151.199,141,165,140.744,131,153,128.386,119,141
cloudy,131.611,86,159,122.64,86,150,112.781,81,139
cloudy,156.489,151,163,146.942,142,152,136.658,131,142
cloudy,122.702,78,165,110.024,77,151,99.955,72,138
cloudy,125.803,120,133,116.818,112,122,108.145,104,113
cloudy,146.517,138,154,137.621,131,145,125.57,119,131
cloudy,140.725,134,149,131.664,126,140,122.622,117,131
cloudy,214.943,105,248,205.554,100,237,193.405,91,239
cloudy,124.357,117,133,113.688,108,120,104.156,99,110
cloudy,155.146,148,164,144.257,139,152,130.24,125,136
cloudy,207.36,129,231,187.974,115,205,176.594,104,197
cloudy,129.95,123,167,127.01,121,158,122.328,118,150
cloudy,208.04,197,223,200.725,193,214,187.887,181,198
cloudy,96.119,87,104,88.105,84,93,80.613,77,85
cloudy,154.732,146,164,140.849,132,150,129.293,121,138
cloudy,157.301,145,173,145.653,134,160,129.499,119,143
cloudy,138.446,88,178,128.682,87,167,115.314,78,151
cloudy,149.275,142,156,124.599,119,133,110.341,104,118
cloudy,139.351,99,189,128.186,94,179,118.015,87,167
cloudy,148.649,140,157,133.948,126,144,121.818,115,130
cloudy,147.466,131,167,131.017,119,149,114.398,104,131
cloudy,122.933,81,189,112.356,82,178,103.185,77,163
cloudy,154.023,144,170,143.759,135,158,130.957,123,146
cloudy,135.812,126,147,126.749,118,136,115.37,109,132
cloudy,129.763,69,198,120.273,72,189,109.917,72,175
cloudy,135.484,112,155,124.808,104,145,113.745,97,132
cloudy,134.499,63,199,125.003,68,188,116.405,69,174
cloudy,150.426,123,185,139.887,114,175,129.356,105,162
cloudy,170.038,160,230,165.321,157,229,158.316,150,220
cloudy,143.433,119,157,138.128,116,149,129.772,112,139
cloudy,225.514,127,253,216.633,120,245,203.613,111,238
cloudy,139.415,84,196,128.959,83,188,120.02,78,179
cloudy,179.731,126,220,166.33,117,198,148.554,103,197
cloudy,159.96,121,233,147.093,113,215,132.539,104,200
cloudy,187.052,170,206,179.152,162,198,166.961,150,186
cloudy,158.029,150,167,144.419,138,153,132.595,126,142
cloudy,183.577,176,197,175.616,169,188,165.261,158,176
cloudy,170.669,163,179,163.729,159,169,154.502,149,161
cloudy,131.641,124,140,121.844,116,128,113.821,109,120
cloudy,113.787,87,142,105.317,84,130,97.497,79,118
cloudy,165.986,152,185,156.097,144,175,143.394,131,163
